from,to,rw_ij,n_ij,reactance,max_f_ij,cost
1,2,4,1,0.0108,800,3760
1,7,4,1,0.0865,65,27808
1,13,4,1,0.0966,100,30968
2,3,4,1,0.0198,500,7109
3,22,4,1,0.0231,200,8187
4,18,4,1,0.1037,1000,4907
4,19,4,1,0.1267,250,5973
5,17,4,1,0.0854,800,3987
5,20,4,1,0.0883,940,4171
5,25,4,0,0.0902,220,1731
6,18,4,1,0.1651,440,7776
6,20,4,1,0.1651,280,7776
6,24,4,1,0.0614,1080,2944
7,13,4,1,0.0476,250,16627
7,16,4,1,0.0476,90,16627
8,16,4,1,0.0418,490,14792
8,22,4,1,0.0389,65,13760
9,11,4,1,0.0129,260,4587
9,15,4,1,0.0144,250,5112
10,11,4,1,0.0678,800,21909
10,15,4,1,0.1053,250,33920
11,14,4,1,0.0245,700,8507
12,14,4,1,0.0519,100,16915
12,23,4,1,0.0839,70,675
13,18,4,1,0.0839,100,675
13,20,4,1,0.0839,250,675
14,22,4,1,0.0173,200,5963
15,22,4,1,0.0259,360,9243
16,18,4,1,0.0839,250,675
16,20,4,1,0.0839,564,675
17,19,4,1,0.0139,400,493
17,23,4,1,0.2112,350,8880
18,23,4,1,0.119,150,5605
19,21,4,1,0.192,110,9045
20,21,4,1,0.0605,180,2245
24,25,4,0,0.1805,220,3067
