from,to,rw_ij,n_ij,reactance,max_f_ij,cost
1,2,5,2,0.1065,270,7076
1,7,5,1,0.0616,270,4349
2,3,5,0,0.0125,600,8178
2,4,5,0,0.0882,270,5965
2,5,5,2,0.0324,270,2581
3,46,5,0,0.0203,1800,24319
4,5,5,2,0.0566,270,4046
4,9,5,1,0.0924,270,6217
4,11,5,0,0.2246,240,14247
5,6,5,0,0.0125,600,8178
5,8,5,1,0.1132,270,7480
5,9,5,1,0.1173,270,7732
5,11,5,0,0.0915,270,6167
6,46,5,0,0.0128,2000,16005
7,8,5,1,0.1023,270,6823
8,13,5,1,0.1348,240,8793
9,10,5,0,0.0125,600,8178
9,14,5,2,0.1756,220,11267
10,46,5,0,0.0081,2000,10889
11,46,5,0,0.0125,600,8178
12,14,5,2,0.0740,270,5106
13,18,5,1,0.1805,220,11570
13,20,5,1,0.1073,270,7126
14,15,5,0,0.0374,270,2884
14,18,5,2,0.1514,240,9803
14,22,5,1,0.0840,270,5712
14,26,5,1,0.1614,220,10409
15,16,5,0,0.0125,600,8178
16,17,5,1,0.0078,2000,10505
16,28,5,0,0.0222,1800,26365
16,32,5,0,0.0311,1400,36213
16,46,5,1,0.0203,1800,24319
17,19,5,1,0.0061,2000,8715
17,32,5,0,0.0232,1700,27516
18,19,5,1,0.0125,600,8178
18,20,5,1,0.1997,200,12732
19,21,5,1,0.0278,1500,32632
19,25,5,0,0.0325,1400,37748
19,32,5,1,0.0195,1800,23423
19,46,5,1,0.0222,1800,26365
20,21,5,1,0.0125,600,8178
20,23,5,2,0.0932,270,6268
21,25,5,0,0.0174,2000,21121
22,26,5,1,0.0790,270,5409
23,24,5,2,0.0774,270,5308
24,25,5,0,0.0125,600,8178
24,33,5,1,0.1448,240,9399
24,34,5,1,0.1647,220,10611
25,32,5,0,0.0319,1400,37109
26,27,5,2,0.0832,270,5662
26,29,5,0,0.0541,270,3894
27,29,5,0,0.0998,270,6672
27,36,5,1,0.0915,270,6167
27,38,5,2,0.2080,200,13237
28,30,5,0,0.0058,2000,8331
28,31,5,0,0.0053,2000,7819
28,41,5,0,0.0339,1300,39283
28,43,5,0,0.0406,1200,46701
29,30,5,0,0.0125,600,8178
31,32,5,0,0.0046,2000,7052
31,41,5,0,0.0278,1500,32632
32,41,5,0,0.0309,1400,35957
32,43,5,1,0.0309,1400,35957
33,34,5,1,0.1265,270,8288
34,35,5,2,0.0491,270,3591
35,38,5,1,0.1980,200,12631
36,37,5,1,0.1057,270,7025
37,39,5,1,0.0283,270,2329
37,40,5,1,0.1281,270,8389
37,42,5,1,0.2105,200,13388
38,42,5,3,0.0907,270,6116
39,42,5,3,0.2030,200,12934
40,41,5,0,0.0125,600,8178
40,42,5,1,0.0932,270,6268
40,45,5,0,0.2205,180,13994
41,43,5,0,0.0139,2000,17284
42,43,5,1,0.0125,600,8178
42,44,5,1,0.1206,270,7934
44,45,5,1,0.1864,200,11924
